	Degree	Eigenvector	Closeness	Betweenness
ActiveInTemp1	{50434.0: 0.11538461538461539, 38663.0: 0.19230769230769232, 42769.0: 0.7692307692307693, 47633.0: 0.11538461538461539, 39062.0: 0.19230769230769232, 19100.0: 0.34615384615384615, 20894.0: 0.038461538461538464, 10659.0: 0.11538461538461539, 6309.0: 0.42307692307692313, 17832.0: 0.15384615384615385, 1196.0: 0.19230769230769232, 20654.0: 0.34615384615384615, 22076.0: 0.23076923076923078, 33213.0: 0.34615384615384615, 38206.0: 0.23076923076923078, 2238.0: 0.23076923076923078, 35264.0: 0.11538461538461539, 13502.0: 0.15384615384615385, 24396.0: 0.23076923076923078, 92.0: 0.15384615384615385, 29407.0: 0.11538461538461539, 32484.0: 0.2692307692307693, 14065.0: 0.23076923076923078, 10098.0: 0.11538461538461539, 4727.0: 0.23076923076923078, 25847.0: 0.15384615384615385, 20860.0: 0.2692307692307693}	{50434.0: 0.08180730426634518, 38663.0: 0.19297749891908011, 42769.0: 0.4680450813466202, 47633.0: 0.08180730426634526, 39062.0: 0.1478607101080315, 19100.0: 0.20991787279792498, 20894.0: 0.06963597391217062, 10659.0: 0.08180730426634522, 6309.0: 0.3215501088020078, 17832.0: 0.11569040229567608, 1196.0: 0.10742848591940109, 20654.0: 0.31448921881295633, 22076.0: 0.16886815593544438, 33213.0: 0.2522132367461013, 38206.0: 0.20717139402310253, 2238.0: 0.22918797081928483, 35264.0: 0.08180730426634525, 13502.0: 0.0723158495045392, 24396.0: 0.19385576282749914, 92.0: 0.13800947075842593, 29407.0: 0.08180730426634529, 32484.0: 0.2358458171881891, 14065.0: 0.1384605405370896, 10098.0: 0.08180730426634523, 4727.0: 0.1611766354399252, 25847.0: 0.11743263831558777, 20860.0: 0.20382363803103454}	{50434.0: 0.4262295081967213, 38663.0: 0.5, 42769.0: 0.7222222222222222, 47633.0: 0.4262295081967213, 39062.0: 0.43333333333333335, 19100.0: 0.41935483870967744, 20894.0: 0.4262295081967213, 10659.0: 0.4262295081967213, 6309.0: 0.5098039215686274, 17832.0: 0.45614035087719296, 1196.0: 0.4126984126984127, 20654.0: 0.5652173913043478, 22076.0: 0.52, 33213.0: 0.4727272727272727, 38206.0: 0.52, 2238.0: 0.5098039215686274, 35264.0: 0.4262295081967213, 13502.0: 0.40625, 24396.0: 0.52, 92.0: 0.49056603773584906, 29407.0: 0.4262295081967213, 32484.0: 0.5416666666666666, 14065.0: 0.4126984126984127, 10098.0: 0.4262295081967213, 4727.0: 0.3880597014925373, 25847.0: 0.4482758620689655, 20860.0: 0.5098039215686274}	{50434.0: 0.0, 38663.0: 0.010247581478350712, 42769.0: 0.632901098901099, 47633.0: 0.0, 39062.0: 0.0039447731755424065, 19100.0: 0.06018315018315017, 20894.0: 0.0, 10659.0: 0.0, 6309.0: 0.12043204658589272, 17832.0: 0.0, 1196.0: 0.009530571992110456, 20654.0: 0.0716136000751385, 22076.0: 0.08000037569268338, 33213.0: 0.053783037475345165, 38206.0: 0.019119376350145576, 2238.0: 0.013837325068094299, 35264.0: 0.0, 13502.0: 0.012076641307410539, 24396.0: 0.028562599793369028, 92.0: 0.010247581478350712, 29407.0: 0.0, 32484.0: 0.05078576124729971, 14065.0: 0.008833662064431294, 10098.0: 0.0, 4727.0: 0.004461538461538461, 25847.0: 0.0, 20860.0: 0.05867004790081714}
InActiveInTemp1	{4194.0: 0.4, 4137.0: 0.4, 20074.0: 0.4, 23824.0: 0.4, 57458.0: 0.4, 20029.0: 0.4}	{4194.0: 0.6188473933617279, 4137.0: 0.35768192303666707, 20074.0: -0.3586513509622527, 23824.0: 0.41018441162670144, 57458.0: 0.26163460938804745, 20029.0: -0.35179089491338206}	{4194.0: 0.0, 4137.0: 0.0, 20074.0: 0.0, 23824.0: 0.0, 57458.0: 0.0, 20029.0: 0.0}	{4194.0: 0.0, 4137.0: 0.0, 20074.0: 0.0, 23824.0: 0.0, 57458.0: 0.0, 20029.0: 0.0}
NormalInTemp1	{3208.0: 0.2857142857142857, 14728.0: 0.23809523809523808, 781.0: 0.23809523809523808, 14606.0: 0.23809523809523808, 42782.0: 0.09523809523809523, 23585.0: 0.047619047619047616, 1127460.0: 0.19047619047619047, 6309.0: 0.23809523809523808, 32037.0: 0.09523809523809523, 17832.0: 0.19047619047619047, 425.0: 0.38095238095238093, 239663.0: 0.19047619047619047, 1902010.0: 0.23809523809523808, 3137.0: 0.14285714285714285, 49485.0: 0.14285714285714285, 12881.0: 0.38095238095238093, 337.0: 0.3333333333333333, 28118.0: 0.19047619047619047, 21849.0: 0.09523809523809523, 15710.0: 0.09523809523809523, 23283.0: 0.23809523809523808, 1144.0: 0.19047619047619047}	{3208.0: 0.27868761158663846, 14728.0: 0.26808369046118774, 781.0: 0.2680836904611883, 14606.0: 0.22911139732070596, 42782.0: -2.5863405036477778e-17, 23585.0: 0.09101789910306615, 1127460.0: 0.16233064014965146, 6309.0: 0.25518325343454357, 32037.0: -3.2819183194822486e-16, 17832.0: 0.16233064014965126, 425.0: 0.28447736247964645, 239663.0: 0.14985117633406364, 1902010.0: 0.23539327781460792, 3137.0: 0.11725353964689401, 49485.0: 0.02577798754634671, 12881.0: 0.4067814095573569, 337.0: 0.3880984721408028, 28118.0: 0.19386799749778652, 21849.0: 1.0358136174194352e-16, 15710.0: 2.944575219835614e-16, 23283.0: 0.2551832534345436, 1144.0: 0.08943018813106371}	{3208.0: 0.37194337194337196, 14728.0: 0.32004429678848284, 781.0: 0.32004429678848284, 14606.0: 0.3528693528693529, 42782.0: 0.0, 23585.0: 0.26465201465201466, 1127460.0: 0.34404761904761905, 6309.0: 0.34404761904761905, 32037.0: 0.0, 17832.0: 0.34404761904761905, 425.0: 0.39319727891156464, 239663.0: 0.31277056277056275, 1902010.0: 0.3528693528693529, 3137.0: 0.26465201465201466, 49485.0: 0.21172161172161175, 12881.0: 0.38227513227513227, 337.0: 0.40476190476190477, 28118.0: 0.36215538847117795, 21849.0: 0.0, 15710.0: 0.0, 23283.0: 0.34404761904761905, 1144.0: 0.28085519922254615}	{3208.0: 0.1142857142857143, 14728.0: 0.017063492063492065, 781.0: 0.017063492063492065, 14606.0: 0.08571428571428572, 42782.0: 0.0, 23585.0: 0.0, 1127460.0: 0.025, 6309.0: 0.038888888888888896, 32037.0: 0.0, 17832.0: 0.025, 425.0: 0.22619047619047625, 239663.0: 0.015873015873015876, 1902010.0: 0.04563492063492063, 3137.0: 0.0, 49485.0: 0.0, 12881.0: 0.20992063492063498, 337.0: 0.1277777777777778, 28118.0: 0.031746031746031744, 21849.0: 0.0, 15710.0: 0.0, 23283.0: 0.038888888888888896, 1144.0: 0.0761904761904762}
ActiveInTemp2	{58880.0: 0.14814814814814814, 33411.0: 0.14814814814814814, 87942.0: 0.1111111111111111, 28169.0: 0.2962962962962963, 42769.0: 0.4074074074074074, 4249.0: 0.14814814814814814, 19100.0: 0.25925925925925924, 16542.0: 0.14814814814814814, 7714.0: 0.14814814814814814, 26404.0: 0.14814814814814814, 6309.0: 0.1111111111111111, 32037.0: 0.14814814814814814, 20654.0: 0.2222222222222222, 44984.0: 0.2222222222222222, 20029.0: 0.14814814814814814, 33213.0: 0.2222222222222222, 6335.0: 0.18518518518518517, 15562.0: 0.1111111111111111, 57428.0: 0.37037037037037035, 55637.0: 0.1111111111111111, 19929.0: 0.2222222222222222, 29407.0: 0.14814814814814814, 81520.0: 0.2222222222222222, 23283.0: 0.37037037037037035, 4215.0: 0.1111111111111111, 42106.0: 0.2222222222222222, 72443.0: 0.1111111111111111, 82686.0: 0.48148148148148145}	{58880.0: 0.08195028130165904, 33411.0: 0.1277737790861969, 87942.0: 0.016259364542110667, 28169.0: 0.3428509117543938, 42769.0: 0.08055932426975004, 4249.0: 0.02531004434721129, 19100.0: 0.26146774287099894, 16542.0: 0.08195028130165903, 7714.0: 0.1238245024038243, 26404.0: 0.12777377908619697, 6309.0: 0.01625936454211068, 32037.0: 0.1502070314348506, 20654.0: 0.04484287484866999, 44984.0: 0.22459174987559266, 20029.0: 0.025310044347211277, 33213.0: 0.24088956452285454, 6335.0: 0.0910009611067596, 15562.0: 0.07520553396694413, 57428.0: 0.37160554089216363, 55637.0: 0.016259364542110653, 19929.0: 0.2377103213540602, 29407.0: 0.14089645072649237, 81520.0: 0.23771032135406028, 23283.0: 0.32547495021122264, 4215.0: 0.0752055339669441, 42106.0: 0.2647345200380784, 72443.0: 0.07520553396694407, 82686.0: 0.3726164686222271}	{58880.0: 0.39705882352941174, 33411.0: 0.313953488372093, 87942.0: 0.25961538461538464, 28169.0: 0.421875, 42769.0: 0.34615384615384615, 4249.0: 0.2621359223300971, 19100.0: 0.38571428571428573, 16542.0: 0.39705882352941174, 7714.0: 0.34615384615384615, 26404.0: 0.313953488372093, 6309.0: 0.25961538461538464, 32037.0: 0.36486486486486486, 20654.0: 0.3253012048192771, 44984.0: 0.313953488372093, 20029.0: 0.2621359223300971, 33213.0: 0.43548387096774194, 6335.0: 0.40298507462686567, 15562.0: 0.2872340425531915, 57428.0: 0.4426229508196721, 55637.0: 0.25961538461538464, 19929.0: 0.36486486486486486, 29407.0: 0.4090909090909091, 81520.0: 0.36486486486486486, 23283.0: 0.4909090909090909, 4215.0: 0.2872340425531915, 42106.0: 0.375, 72443.0: 0.2872340425531915, 82686.0: 0.39705882352941174}	{58880.0: 0.09401709401709404, 33411.0: 0.0, 87942.0: 0.0, 28169.0: 0.12654320987654322, 42769.0: 0.3162393162393163, 4249.0: 0.0, 19100.0: 0.044159544159544165, 16542.0: 0.09401709401709404, 7714.0: 0.0, 26404.0: 0.0, 6309.0: 0.0, 32037.0: 0.012820512820512822, 20654.0: 0.029914529914529916, 44984.0: 0.001899335232668566, 20029.0: 0.0, 33213.0: 0.12602089268755937, 6335.0: 0.17094017094017086, 15562.0: 0.0, 57428.0: 0.16889838556505227, 55637.0: 0.0, 19929.0: 0.01267806267806268, 29407.0: 0.06932573599240267, 81520.0: 0.01267806267806268, 23283.0: 0.5119658119658119, 4215.0: 0.0, 42106.0: 0.0399810066476733, 72443.0: 0.0, 82686.0: 0.2818613485280152}
InActiveInTemp2	{4771.0: 0.2857142857142857, 87942.0: 0.42857142857142855, 47878.0: 0.5714285714285714, 30568.0: 0.5714285714285714, 15562.0: 0.42857142857142855, 81520.0: 0.7142857142857142, 42769.0: 0.42857142857142855, 82686.0: 0.5714285714285714}	{4771.0: -2.451174337763443e-16, 87942.0: 2.9586966506804076e-16, 47878.0: 0.49715368087076905, 30568.0: 0.497153680870769, 15562.0: 0.15466839660088458, 81520.0: 0.6037035301741894, 42769.0: 6.317151192721704e-16, 82686.0: 0.34248528426988534}	{4771.0: 0.0, 87942.0: 0.14285714285714285, 47878.0: 0.32653061224489793, 30568.0: 0.32653061224489793, 15562.0: 0.25396825396825395, 81520.0: 0.45714285714285713, 42769.0: 0.14285714285714285, 82686.0: 0.38095238095238093}	{4771.0: 0.0, 87942.0: 0.0, 47878.0: 0.0, 30568.0: 0.0, 15562.0: 0.0, 81520.0: 0.19047619047619047, 42769.0: 0.0, 82686.0: 0.14285714285714285}
NormalInTemp2	{53794.0: 0.2, 76035.0: 0.2, 10693.0: 0.26666666666666666, 14440.0: 0.26666666666666666, 425.0: 0.3333333333333333, 5578.0: 0.26666666666666666, 14606.0: 0.13333333333333333, 12881.0: 0.26666666666666666, 94162.0: 0.2, 23283.0: 0.2, 894.0: 0.2, 2424.0: 0.26666666666666666, 4857.0: 0.2, 7867.0: 0.2, 41661.0: 0.2, 72606.0: 0.3333333333333333}	{53794.0: -5.192765312380971e-16, 76035.0: -1.1901729768060875e-16, 10693.0: -1.2291475888129578e-16, 14440.0: -2.2812735321684087e-16, 425.0: 0.5650995704547594, 5578.0: -3.5513175020257026e-16, 14606.0: 2.3766166967487876e-16, 12881.0: -5.066839826003376e-16, 94162.0: -1.3264489195139248e-16, 23283.0: 0.2453993177604256, 894.0: -1.3211502474743373e-16, 2424.0: 0.49079863552085, 4857.0: 1.761550032716947e-16, 7867.0: -2.914532375612703e-16, 41661.0: 0.24539931776042545, 72606.0: 0.5650995704547593}	{53794.0: 0.1111111111111111, 76035.0: 0.1111111111111111, 10693.0: 0.1515151515151515, 14440.0: 0.18518518518518517, 425.0: 0.21333333333333335, 5578.0: 0.18518518518518517, 14606.0: 0.0, 12881.0: 0.1515151515151515, 94162.0: 0.06666666666666667, 23283.0: 0.13333333333333333, 894.0: 0.06666666666666667, 2424.0: 0.17777777777777776, 4857.0: 0.06666666666666667, 7867.0: 0.06666666666666667, 41661.0: 0.13333333333333333, 72606.0: 0.21333333333333335}	{53794.0: 0.0, 76035.0: 0.0, 10693.0: 0.0380952380952381, 14440.0: 0.05714285714285715, 425.0: 0.028571428571428574, 5578.0: 0.05714285714285715, 14606.0: 0.0, 12881.0: 0.0380952380952381, 94162.0: 0.0, 23283.0: 0.0, 894.0: 0.0, 2424.0: 0.0, 4857.0: 0.0, 7867.0: 0.0, 41661.0: 0.0, 72606.0: 0.028571428571428574}
ActiveInTemp3	{48387.0: 0.1111111111111111, 103043.0: 0.18518518518518517, 28169.0: 0.14814814814814814, 92942.0: 0.14814814814814814, 12943.0: 0.18518518518518517, 112654.0: 0.1111111111111111, 42769.0: 0.3333333333333333, 14357.0: 0.1111111111111111, 4249.0: 0.1111111111111111, 84634.0: 0.1111111111111111, 60188.0: 0.18518518518518517, 6309.0: 0.14814814814814814, 18484.0: 0.1111111111111111, 3897.0: 0.1111111111111111, 1902010.0: 0.14814814814814814, 126781.0: 0.2222222222222222, 6335.0: 0.1111111111111111, 109002.0: 0.1111111111111111, 56524.0: 0.18518518518518517, 65358.0: 0.2222222222222222, 91607.0: 0.6666666666666666, 40411.0: 0.1111111111111111, 34397.0: 0.18518518518518517, 15710.0: 0.1111111111111111, 68452.0: 0.18518518518518517, 23528.0: 0.14814814814814814, 74601.0: 0.18518518518518517, 88442.0: 0.25925925925925924}	{48387.0: 0.13622242370438953, 103043.0: 0.11319741876966635, 28169.0: 0.17385225928061154, 92942.0: 0.1593131405526232, 12943.0: 0.22373992122581776, 112654.0: 0.1362224237043895, 42769.0: 0.18167663844372153, 14357.0: 0.13622242370438956, 4249.0: 0.04037891969602807, 84634.0: 0.1362224237043895, 60188.0: 0.20370668998343305, 6309.0: 0.17385225928061152, 18484.0: 0.1362224237043896, 3897.0: 0.13622242370438947, 1902010.0: 0.16332777028740506, 126781.0: 0.10389192796199395, 6335.0: 0.005694690404679929, 109002.0: 0.04037891969602813, 56524.0: 0.1284920656921259, 65358.0: 0.2805695486082112, 91607.0: 0.6129047583634134, 40411.0: 0.13622242370438944, 34397.0: 0.22713926483516372, 15710.0: 0.005694690404679975, 68452.0: 0.12195492816858783, 23528.0: 0.19858099313549027, 74601.0: 0.025622087403238215, 88442.0: 0.16930770025901523}	{48387.0: 0.38028169014084506, 103043.0: 0.4153846153846154, 28169.0: 0.4426229508196721, 92942.0: 0.4426229508196721, 12943.0: 0.4426229508196721, 112654.0: 0.38028169014084506, 42769.0: 0.43548387096774194, 14357.0: 0.38028169014084506, 4249.0: 0.3068181818181818, 84634.0: 0.38028169014084506, 60188.0: 0.45, 6309.0: 0.4426229508196721, 18484.0: 0.38028169014084506, 3897.0: 0.38028169014084506, 1902010.0: 0.4090909090909091, 126781.0: 0.4153846153846154, 6335.0: 0.23893805309734514, 109002.0: 0.3068181818181818, 56524.0: 0.40298507462686567, 65358.0: 0.4090909090909091, 91607.0: 0.6, 40411.0: 0.38028169014084506, 34397.0: 0.421875, 15710.0: 0.23893805309734514, 68452.0: 0.36486486486486486, 23528.0: 0.38571428571428573, 74601.0: 0.3103448275862069, 88442.0: 0.43548387096774194}	{48387.0: 0.0, 103043.0: 0.06125356125356127, 28169.0: 0.0154320987654321, 92942.0: 0.12915479582146247, 12943.0: 0.0422602089268756, 112654.0: 0.0, 42769.0: 0.19776828110161446, 14357.0: 0.0, 4249.0: 0.0, 84634.0: 0.0, 60188.0: 0.10208926875593544, 6309.0: 0.0154320987654321, 18484.0: 0.0, 3897.0: 0.0, 1902010.0: 0.0194681861348528, 126781.0: 0.2219848053181387, 6335.0: 0.0, 109002.0: 0.0, 56524.0: 0.022792022792022793, 65358.0: 0.009021842355175688, 91607.0: 0.6329534662867996, 40411.0: 0.0, 34397.0: 0.03703703703703704, 15710.0: 0.0, 68452.0: 0.013770180436847105, 23528.0: 0.0, 74601.0: 0.1452991452991453, 88442.0: 0.10066476733143401}
InActiveInTemp3	{15816.0: 0.75, 20654.0: 0.75, 70551.0: 0.75, 111833.0: 0.75, 92957.0: 0.5}	{15816.0: 0.6490049151201247, 20654.0: 0.6490049151201247, 70551.0: 0.28070023183089765, 111833.0: 0.2807002318308979, 92957.0: -6.299729046690968e-17}	{15816.0: 0.25, 20654.0: 0.25, 70551.0: 0.25, 111833.0: 0.25, 92957.0: 0.0}	{15816.0: 0.0, 20654.0: 0.0, 70551.0: 0.0, 111833.0: 0.0, 92957.0: 0.0}
NormalInTemp3	{11649.0: 0.2222222222222222, 6309.0: 0.3333333333333333, 425.0: 0.3333333333333333, 48684.0: 0.4444444444444444, 14606.0: 0.2222222222222222, 102704.0: 0.3333333333333333, 94162.0: 0.6666666666666666, 2260.0: 0.3333333333333333, 97558.0: 0.4444444444444444, 12605.0: 0.2222222222222222}	{11649.0: 4.862303213872427e-19, 6309.0: 0.31093791187691594, 425.0: 0.1287947001553889, 48684.0: 0.4397326120323047, 14606.0: 1.814365998163451e-17, 102704.0: 0.31093791187691583, 94162.0: 0.6532814824381883, 2260.0: 0.3109379118769159, 97558.0: 0.27059805007309845, 12605.0: -1.3854824724498701e-17}	{11649.0: 0.0, 6309.0: 0.2857142857142857, 425.0: 0.2222222222222222, 48684.0: 0.39999999999999997, 14606.0: 0.0, 102704.0: 0.2857142857142857, 94162.0: 0.4444444444444444, 2260.0: 0.2857142857142857, 97558.0: 0.3076923076923077, 12605.0: 0.0}	{11649.0: 0.0, 6309.0: 0.0, 425.0: 0.0, 48684.0: 0.2222222222222222, 14606.0: 0.0, 102704.0: 0.0, 94162.0: 0.3333333333333333, 2260.0: 0.0, 97558.0: 0.1388888888888889, 12605.0: 0.0}
ActiveInTemp4	{58880.0: 0.15000000000000002, 156811.0: 0.30000000000000004, 14606.0: 0.2, 112654.0: 0.15000000000000002, 42769.0: 0.15000000000000002, 90002.0: 0.2, 96531.0: 0.15000000000000002, 19100.0: 0.15000000000000002, 60188.0: 0.15000000000000002, 154152.0: 0.2, 20654.0: 0.15000000000000002, 22076.0: 0.15000000000000002, 117700.0: 0.25, 118854.0: 0.15000000000000002, 91607.0: 0.35000000000000003, 19929.0: 0.15000000000000002, 29407.0: 0.15000000000000002, 106979.0: 0.15000000000000002, 74601.0: 0.6000000000000001, 49018.0: 0.15000000000000002, 50685.0: 0.15000000000000002}	{58880.0: 0.19051939057095976, 156811.0: 0.21264665999312746, 14606.0: 0.2917127573348736, 112654.0: 0.0463324974136854, 42769.0: -7.845492065373552e-17, 90002.0: 0.10954063693784875, 96531.0: 0.19051939057095982, 19100.0: 8.204093215519827e-17, 60188.0: 0.19051939057095973, 154152.0: 0.10954063693784878, 20654.0: 9.346159782162747e-17, 22076.0: 0.19051939057095982, 117700.0: 0.34043766543041115, 118854.0: -1.1956766627622362e-16, 91607.0: 0.15587313435153394, 19929.0: 0.19051939057095973, 29407.0: 0.04633249741368541, 106979.0: 0.1905193905709598, 74601.0: 0.6409508707870328, 49018.0: 0.19051939057095976, 50685.0: 0.19051939057095973}	{58880.0: 0.29090909090909095, 156811.0: 0.35555555555555557, 14606.0: 0.34594594594594597, 112654.0: 0.21333333333333335, 42769.0: 0.05, 90002.0: 0.26666666666666666, 96531.0: 0.29090909090909095, 19100.0: 0.05, 60188.0: 0.29090909090909095, 154152.0: 0.26666666666666666, 20654.0: 0.05, 22076.0: 0.29090909090909095, 117700.0: 0.4129032258064516, 118854.0: 0.05, 91607.0: 0.28444444444444444, 19929.0: 0.29090909090909095, 29407.0: 0.21333333333333335, 106979.0: 0.29090909090909095, 74601.0: 0.4413793103448276, 49018.0: 0.29090909090909095, 50685.0: 0.29090909090909095}	{58880.0: 0.0, 156811.0: 0.29210526315789476, 14606.0: 0.0, 112654.0: 0.0, 42769.0: 0.0, 90002.0: 0.0, 96531.0: 0.0, 19100.0: 0.0, 60188.0: 0.0, 154152.0: 0.0, 20654.0: 0.0, 22076.0: 0.0, 117700.0: 0.3157894736842105, 118854.0: 0.0, 91607.0: 0.15526315789473683, 19929.0: 0.0, 29407.0: 0.0, 106979.0: 0.0, 74601.0: 0.4842105263157895, 49018.0: 0.0, 50685.0: 0.0}
InActiveInTemp4	{48387.0: 0.3333333333333333, 4771.0: 0.4444444444444444, 1123.0: 0.3333333333333333, 33863.0: 0.2222222222222222, 89771.0: 0.2222222222222222, 50899.0: 0.1111111111111111, 111833.0: 0.2222222222222222, 92957.0: 0.3333333333333333, 16542.0: 0.2222222222222222, 19679.0: 0.2222222222222222}	{48387.0: -7.262142057506064e-16, 4771.0: 0.7369762290995783, 1123.0: 0.5910090485061036, 33863.0: 3.9114775552936465e-17, 89771.0: -2.4761969159627735e-17, 50899.0: 0.3279852776056818, 111833.0: 3.2344355507118304e-18, 92957.0: -7.8902726398753e-16, 16542.0: -2.104832273732286e-17, 19679.0: -1.979264815222802e-17}	{48387.0: 0.1111111111111111, 4771.0: 0.2222222222222222, 1123.0: 0.14814814814814814, 33863.0: 0.0, 89771.0: 0.0, 50899.0: 0.14814814814814814, 111833.0: 0.0, 92957.0: 0.1111111111111111, 16542.0: 0.0, 19679.0: 0.0}	{48387.0: 0.0, 4771.0: 0.027777777777777776, 1123.0: 0.0, 33863.0: 0.0, 89771.0: 0.0, 50899.0: 0.0, 111833.0: 0.0, 92957.0: 0.0, 16542.0: 0.0, 19679.0: 0.0}
NormalInTemp4	{10693.0: 0.2857142857142857, 17832.0: 0.42857142857142855, 425.0: 0.2857142857142857, 56524.0: 0.2857142857142857, 79853.0: 0.42857142857142855, 20336.0: 0.2857142857142857, 12881.0: 0.2857142857142857, 15441.0: 0.0}	{10693.0: -2.3713935973929363e-17, 17832.0: 0.7071067811865475, 425.0: -2.336872067016203e-16, 56524.0: 1.8683437105817977e-16, 79853.0: 0.7071067811865477, 20336.0: 1.4320604069976919e-16, 12881.0: 1.217372420923276e-16, 15441.0: -9.02770316776323e-17}	{10693.0: 0.0, 17832.0: 0.14285714285714285, 425.0: 0.0, 56524.0: 0.0, 79853.0: 0.14285714285714285, 20336.0: 0.0, 12881.0: 0.0, 15441.0: 0.0}	{10693.0: 0.0, 17832.0: 0.0, 425.0: 0.0, 56524.0: 0.0, 79853.0: 0.0, 20336.0: 0.0, 12881.0: 0.0, 15441.0: 0.0}
